transaction_id,user_id,merchant_id,amount_cents,currency,transaction_country,channel,entry_mode,device_id,created_at,is_fraud
4248,4fd2a7f4-aa10-4971-8ed8-c32cac234e50,6b04b194-0bf3-4ab5-a986-d78907a676a7,119824,INR,IN,ONLINE,CHIP,f5dc6893-8d42-4f8b-827f-0d708bf165cb,2026-01-17 11:48:09,False
4302,8d0a8691-9c70-499c-971e-879a664220d6,92d9038b-aa02-4ea6-a07c-f8b4973ece19,362906,INR,IN,POS,WEB,213b8d3c-4858-441f-8d6c-aca6270a54d0,2026-01-21 01:55:31,False
7535,7b66faf5-36e2-48f1-a7fc-22f6e02d4384,c9d6616c-57b4-45be-8f65-38a3fb40a583,296521,INR,IN,POS,NFC,13249f15-e764-4d9a-9c95-7b55bce0e3dd,2026-01-02 05:44:54,False
4816,705a1c8c-d62a-4ccb-8c9b-9de1da2a111d,2f1fbe1e-e446-427d-b49d-487ab77ae595,76472,INR,IN,POS,NFC,f28b4e7b-b227-4eea-acf9-4ed50569c709,2026-01-05 12:34:25,False
7578,c83e57db-2905-4225-b525-8c9529021b0c,682a9aba-d879-49ba-b7ee-db413e7abc45,410731,INR,IN,ONLINE,APP,3ec644d5-f44c-41d9-a757-feae732f4ed8,2026-01-09 02:34:27,False
8257,7de2dd2b-df3f-4461-a429-8831db18c090,b22cc09d-77a2-4cc4-8bfa-f104d3d40292,471526,INR,IN,ATM,APP,5462a737-665c-4520-9e23-f75a5c0d7e63,2026-01-28 02:59:46,False
3267,74c7f339-c037-4567-b87d-592d982e0dbb,f69000b3-ac49-4b07-8a7d-1b0b45622e98,277608,INR,IN,POS,APP,296f5dce-f734-4e50-9a09-34aa2e5ee5aa,2026-01-24 04:49:30,False
6858,dc7cd1a0-ba79-419c-b347-06b7b3f88204,751703b2-b113-4cc9-b324-ddf1e3102646,376039,INR,IN,ONLINE,CHIP,78c94b47-27aa-4d79-a1b4-9f48f157e0b1,2026-01-25 03:55:50,False
2275,c2cb09ea-26a6-4e80-9718-8e59280775b8,a636a874-2862-4784-8b68-483a5c22e849,60735,INR,IN,ATM,WEB,433ff819-9120-42c4-afd1-285b3893f8c7,2026-01-09 17:11:36,False
6156,79e51bcd-6d29-4c98-a104-7ca96ccd9335,ee7b9fbb-ee78-4c7b-87b9-787b3943e8fd,469515,INR,IN,ATM,APP,0307c847-e796-4973-8fb7-ac773b818a8d,2026-01-30 12:16:56,False
5979,027c1e7c-41a2-40a4-9ff3-9bbe275d9bf0,a861aabb-538d-4ab8-9115-b2c2024db503,173014,INR,IN,POS,NFC,177e0e18-fdcf-46c5-8319-54fc8a206d65,2026-01-08 19:12:21,False
3067,49e9666b-81f6-4bac-b344-ba0aeb570f4c,43363d31-96ac-4184-8a8a-aa2d2a33f5c7,291537,INR,IN,ATM,SWIPE,0b6ced6b-eee6-45fe-bf86-758e25f61d54,2026-01-28 18:30:15,False
8344,f14b9fc3-9356-408d-9280-24b08b3c41f4,438f22fe-f4ea-48bc-b81d-7b3cabaf3cd3,2370,INR,IN,POS,CHIP,2f8b5bd0-c26d-44d3-9f2d-b130cb853aa7,2026-01-07 20:34:06,False
56,6a53cc62-8edf-4eaa-a2fd-9de3b4a4b06d,207d94b9-b78f-4c00-968d-514c4b62e0b3,447595,INR,US,ONLINE,WEB,1774e60a-5238-4d09-a40a-ffff746c3ee2,2026-01-09 01:45:59,True
9358,4f6fd4f1-b825-415d-99d9-2d675768cfcc,2eee2edd-7f85-4b2f-bb31-5a9a686ff64f,426041,INR,IN,ONLINE,NFC,c3771ace-9639-4dbd-a8c6-4290f7829b5b,2026-01-29 07:02:20,False
8585,36843659-f749-4e8b-9937-7b9d3534413a,797764de-cc0c-4162-964c-0d6437b4d123,137074,INR,IN,ONLINE,WEB,3b7157cd-86c5-4237-985e-76fc5d673e2a,2026-01-30 09:28:04,False
3412,677ade3a-de93-49b8-ad24-f521b91b8d42,dacc09d3-60ae-409a-8a86-ea99c799938b,436099,INR,IN,ONLINE,CHIP,079445d2-8094-4c88-a52e-f9c72ef01457,2026-01-03 04:20:46,False
4615,8bad8b18-ce6d-41e4-85a1-fe510dae32e6,c1b88c4f-4088-42cc-850d-bafc8b66b22e,404590,INR,IN,POS,WEB,64f7b346-95e7-4f0d-ada8-1c1c8eb0094b,2026-01-29 12:02:59,False
